date,stock_code,action,shares,price,cost,cash_after,proceeds,profit,profit_pct
2024-06-14,002460.SZ,BUY,700,30.54131331531735,21385.37610064522,36264.866965906505,,,
2024-06-17,601111.SH,BUY,1800,7.427419999999999,13373.417635345892,22891.449330560616,,,
2024-06-17,000100.SZ,SELL,2600,4.250071448297838,,33927.269854639744,11035.820524079132,-792.4428929902806,-0.06699570892602064
2024-06-17,600030.SH,BUY,700,17.917704938647507,12546.193283440618,21381.076571199126,,,
2024-06-17,002475.SZ,SELL,500,36.48781679981925,,39601.26789018887,18220.191318989742,3645.2517011250875,0.25010406881254343
2024-06-19,600600.SH,SELL,300,71.68784059326133,,61079.6618103359,21478.393920147028,-2465.706818205377,-0.10297763299399829
2024-06-19,603288.SH,SELL,500,34.07914723232834,,78097.08398079906,17017.422170463156,-1921.1265228836419,-0.10144000757347064
2024-06-19,000661.SZ,SELL,300,98.92448608235956,,107735.84925593481,29638.76527513575,-977.6936967570182,-0.03193359812297638
2024-06-19,300014.SZ,SELL,400,42.119298630230155,,124561.66667273914,16825.81741680434,2036.2948589937987,0.13768496251546705
2024-06-20,000063.SZ,BUY,1700,26.326390119552183,44768.814007706766,79792.85266503238,,,
2024-06-20,600104.SH,BUY,2100,13.578160032527668,28523.072802338833,51269.77986269354,,,
2024-06-21,000661.SZ,BUY,100,95.7992256116978,9585.664734449012,41684.11512824453,,,
2024-06-24,601211.SH,BUY,1100,13.242207140195275,14571.096440908539,27113.01868733599,,,
2024-06-24,600048.SH,BUY,1100,8.64835692333901,9516.229251520435,17596.789435815554,,,
2024-06-25,300122.SZ,BUY,200,26.590075175177876,5319.985861014724,12276.80357480083,,,
2024-06-25,002603.SZ,BUY,300,14.828703119127436,4449.985927665842,7826.817647134988,,,
2024-06-26,000001.SZ,SELL,6500,9.35680665896861,,68566.99591416268,60740.17826702768,927.4043528922411,0.015505121936387395
2024-06-26,600031.SH,BUY,1600,15.884503773447724,25422.885484801485,43144.110429361186,,,
2024-06-27,300122.SZ,SELL,200,27.09690401242907,,48556.44603680377,5412.335607442583,94.3205724070076,0.017736048466507698
2024-06-28,601601.SH,SELL,1300,26.059798143449473,,82390.14256442565,33833.69652762188,144.00670461303525,0.004274503724124044
2024-07-01,000001.SZ,BUY,3100,9.62666951368486,29851.903120791525,52538.23944363413,,,
2024-07-02,000063.SZ,SELL,1700,26.522467965858933,,97567.82033138977,45029.58088775564,274.7176845169306,0.0061382755940822655
2024-07-02,300014.SZ,BUY,900,37.42668196365417,33694.941283114254,63872.879048275514,,,
2024-07-03,601628.SH,SELL,700,29.81413550616917,,84715.64303928331,20842.763991007807,-1306.970275381369,-0.059006137936589785
2024-07-03,601377.SH,BUY,6500,4.838976664056381,31462.836398880114,53252.8066404032,,,
2024-07-03,000776.SZ,BUY,1700,11.536090106752729,19617.31745213096,33635.489188272244,,,
2024-07-04,000063.SZ,BUY,400,26.345557494957756,10541.99014517523,23093.499043097014,,,
2024-07-08,002714.SZ,SELL,200,41.77134558420628,,31436.907610086375,8343.408566989363,-552.1985401822712,-0.062075419196188315
2024-07-08,002466.SZ,SELL,500,27.72225,,45280.013147586375,13843.105537500001,-3399.4913713098886,-0.19715657619838928
2024-07-09,002007.SZ,BUY,1100,14.526465933859862,15984.18385156742,29295.829296018954,,,
2024-07-10,000876.SZ,SELL,1000,9.242462855290414,,38526.27694959749,9230.447653578536,-849.7195319554521,-0.08429617448953441
2024-07-10,300122.SZ,BUY,500,25.328215037977717,12668.422430397502,25857.85451919999,,,
2024-07-11,600188.SH,BUY,600,14.117008013240243,8473.100866434666,17384.753652765325,,,
2024-07-11,000876.SZ,BUY,600,9.39083959801977,5636.450836957278,11748.302815808047,,,
2024-07-11,000776.SZ,SELL,1700,11.464748018557597,,31213.037354234948,19464.7345384269,-146.6186430527414,-0.007476212462034671
2024-07-11,002415.SZ,SELL,100,28.994870301249087,,34108.755051220694,2895.7176969857464,-251.85633690110126,-0.08001601684014759
2024-07-12,002304.SZ,BUY,100,75.21377878595769,7525.198031176245,26583.55702004445,,,
2024-07-15,601688.SH,SELL,1600,11.627395171026157,,45163.204311730566,18579.647291686117,-2324.132990004022,-0.11118242531661877
2024-07-15,000876.SZ,SELL,600,9.49172021384733,,50850.832898272165,5687.628586541597,53.124827729734534,0.009428483856568918
2024-07-16,600276.SH,SELL,400,40.76187686537639,,67134.38746845273,16283.554570180559,-894.379634604853,-0.052065610680689274
2024-07-16,601888.SH,SELL,100,66.0301723880597,,73728.82078484824,6594.433316395522,-578.9912457647752,-0.08071336650265272
2024-07-16,002074.SZ,SELL,800,19.149202425586093,,89028.26755479451,15299.446769946266,-147.5591304839727,-0.009552604008512924
2024-07-16,600030.SH,SELL,700,17.94898643089852,,101576.22447877136,12547.956923976846,5.563466923591477,0.0004435729864990676
2024-07-17,600600.SH,BUY,500,67.15942077166962,33591.08683963604,67985.13763913533,,,
2024-07-17,002074.SZ,BUY,1300,19.047848294406883,24769.81706236467,43215.32057677065,,,
2024-07-17,600036.SH,BUY,400,32.69028440483536,13080.953842381807,30134.366734388845,,,
2024-07-18,601211.SH,SELL,1100,13.487639203994933,,44951.48253472156,14817.115800332713,250.68794611791054,0.01720998096629256
2024-07-18,002460.SZ,SELL,700,27.74624335719743,,64348.60380330471,19397.12126858315,-1981.7980521389945,-0.09269870110871688
2024-07-19,600745.SH,BUY,700,30.513766226336106,21366.84334926505,42981.76045403966,,,
2024-07-19,600585.SH,SELL,2500,23.849136635605692,,102527.09234898817,59545.33189494851,3661.381326859584,0.06551758223317734
2024-07-19,601688.SH,BUY,3100,12.062754929577464,37406.02323191267,65121.069117075494,,,
2024-07-19,002074.SZ,SELL,1300,19.109370491263505,,89930.95591958781,24809.88680251232,47.68401978336988,0.0019256776225347913
2024-07-19,000876.SZ,BUY,3400,9.610625205632997,32686.197892429405,57244.7580271584,,,
2024-07-19,300014.SZ,SELL,900,39.39035420860765,,92649.99010048121,35405.23207332281,1721.2183060340612,0.05109896694394456
2024-07-22,600522.SH,SELL,200,14.26070749123686,,95498.42381478086,2848.4337142996505,-8.240837528090651,-0.0028847659677641775
2024-07-22,300347.SZ,SELL,100,53.84198765138357,,100875.62312152454,5377.199306743677,-443.4184152011967,-0.07618064548878069
2024-07-23,600188.SH,SELL,600,14.070178538512382,,109306.75550537193,8431.132383847389,-39.07242409675746,-0.004612925541081569
2024-07-23,600029.SH,SELL,5900,5.84415,,143742.41587487192,34435.6603695,299.5583695000023,0.008775412303959085
2024-07-25,002230.SZ,BUY,1300,38.3768876982101,49906.05304031457,93836.36283455735,,,
2024-07-25,300122.SZ,SELL,500,25.479753080248578,,106559.67753517948,12723.314700622126,59.20718163326819,0.004675195748653552
2024-07-26,600030.SH,BUY,2100,18.493836930243887,38848.99214996693,67710.68538521255,,,
2024-07-26,600029.SH,BUY,4300,5.845839999999999,25144.695541208457,42565.98984400409,,,
2024-07-26,300014.SZ,BUY,400,38.97584860438543,15595.106797692522,26970.88304631157,,,
2024-07-29,600276.SH,BUY,200,40.384678761138886,8079.956469000124,18890.926577311446,,,
2024-07-29,601211.SH,BUY,500,13.495195957367518,6749.713746960952,12141.212830350494,,,
2024-07-29,002074.SZ,BUY,200,19.03787037492317,3808.933880860115,8332.27894949038,,,
2024-07-29,000895.SZ,SELL,200,20.852177573987284,,12497.292898118598,4165.01394862822,-522.5421254093644,-0.11147431991342079
2024-07-29,000100.SZ,BUY,1200,3.81209603537097,4575.9149289960815,7921.377969122516,,,
2024-07-31,600585.SH,BUY,100,23.177674709825077,2318.6546588157853,5602.723310306731,,,
2024-08-01,002230.SZ,SELL,1300,39.137591570862675,,56415.44982267346,50812.726512366724,922.7725046935957,0.018496158656543808
2024-08-02,600030.SH,SELL,2100,18.408971133879366,,95024.03271262464,38608.582889951176,-228.47466356098448,-0.005882903545053011
2024-08-02,002415.SZ,BUY,1200,27.392751341660542,32881.944223691964,62142.08848893268,,,
2024-08-05,600346.SH,BUY,1800,12.872820626218324,23178.036990117937,38964.05149881474,,,
2024-08-06,600522.SH,BUY,1000,13.515010995938352,13519.374937737328,25444.676561077413,,,
2024-08-07,601012.SH,BUY,600,14.244229999999998,8549.38778289821,16895.2887781792,,,
2024-08-07,603288.SH,BUY,100,34.155112372175225,3417.403495698577,13477.885282480624,,,
2024-08-07,000538.SZ,SELL,200,48.13925056007043,,23093.21918934909,9615.333906868467,-594.013961079736,-0.05818334028411516
2024-08-08,600346.SH,SELL,1800,13.155508223684212,,46742.35010273725,23649.13091338816,478.0537861951743,0.020631487417308823
2024-08-08,002001.SZ,BUY,800,21.736204112419525,17394.198394796364,29348.151707940884,,,
2024-08-09,600887.SH,SELL,1600,22.805093175805688,,65788.8661954243,36440.71448748342,-4624.796295227388,-0.1126199627638504
2024-08-09,601211.SH,SELL,500,13.652595942461058,,72606.28997929223,6817.423783867929,69.82580518417035,0.010348246206243476
2024-08-09,600031.SH,SELL,1600,14.88672344996141,,96394.08311445457,23787.793135162337,-1627.4129023540227,-0.06403303990342381
2024-08-09,600030.SH,BUY,1900,18.138555535426118,34474.051575529855,61920.03153892471,,,
2024-08-12,002001.SZ,SELL,800,19.73466622734761,,77687.24046792636,15767.208929001645,-1621.7543609339737,-0.09326343002130624
2024-08-13,601888.SH,BUY,400,62.9263221766888,25179.229777867768,52508.01069005859,,,
2024-08-13,601628.SH,BUY,600,29.084747679500516,17456.729461816274,35051.28122824231,,,
2024-08-13,000963.SZ,SELL,200,27.68966096435934,,40582.014109263444,5530.732881021135,-569.5650959451823,-0.0933667663605553
2024-08-13,002714.SZ,BUY,300,42.19711063658339,12663.67834325887,27918.335766004573,,,
2024-08-14,600183.SH,SELL,300,18.138041548527806,,33352.67439435899,5434.338628354416,-332.6010015692473,-0.057673744292976045
2024-08-14,300014.SZ,SELL,400,37.164799195821324,,48199.26837710569,14846.593982746703,-743.7454590074703,-0.0477055334033052
2024-08-15,000725.SZ,SELL,900,3.7386312260465804,,51559.66228201314,3360.393904907448,-463.4511791137779,-0.12120030203378536
2024-08-16,600585.SH,SELL,100,21.571410102991663,,53713.999008998915,2154.336726985777,-163.4307439967306,-0.07051213982542083
2024-08-19,601390.SH,BUY,3400,5.847952684464999,19889.055050999203,33824.94395799971,,,
2024-08-19,002352.SZ,SELL,600,32.5862354533153,,53351.267966335305,19526.32400833559,-1984.7327004123217,-0.09226569978801598
2024-08-19,002466.SZ,BUY,700,26.34632,18448.399298239037,34902.86866809627,,,
2024-08-20,600547.SH,BUY,400,29.17813438930362,11675.162848375467,23227.705819720803,,,
2024-08-20,601211.SH,BUY,600,13.786878867108891,8274.728804259474,14952.977015461329,,,
2024-08-20,000776.SZ,BUY,400,11.536090106752729,4616.110763858333,10336.866251602996,,,
2024-08-20,000725.SZ,BUY,1000,3.756000184257075,3757.157904796151,6579.708346806845,,,
2024-08-20,002714.SZ,SELL,300,38.7172190451249,,18179.774344916717,11600.06599810987,-1059.0671928651464,-0.08366032467532449
2024-08-21,002236.SZ,BUY,500,12.617124020609618,6310.598130115453,11869.176214801264,,,
2024-08-22,601100.SH,SELL,700,43.764423833790666,,42464.447272765974,30595.271057964714,-5412.853191349281,-0.15032310913702768
2024-08-22,300347.SZ,BUY,300,47.53074091542768,14263.978257881989,28200.469014883987,,,
2024-08-23,000725.SZ,SELL,1000,3.8076824624115564,,32003.20149009441,3802.7324752104214,46.732290953346364,0.012442036384668034
2024-08-26,601628.SH,SELL,600,31.735658618254796,,51019.842847325046,19016.641357230637,1565.7927495303265,0.0897258800835284
2024-08-26,000538.SZ,BUY,300,50.82001365849172,15251.718278086091,35768.12456923896,,,
2024-08-27,002466.SZ,SELL,700,25.51446,,53605.02841063896,17836.903841400002,-605.5201585999966,-0.03283300278748589
2024-08-28,601012.SH,SELL,600,13.12686,,61470.905459838956,7865.877049199999,-680.6609507999992,-0.0796417158386237
2024-08-28,600436.SH,BUY,100,199.53592087637944,19960.476778614324,41510.42868122463,,,
2024-08-28,601390.SH,SELL,3400,5.607395190245954,,60550.787641319985,19040.358960095353,-842.6801670856439,-0.04238185931715352
2024-08-28,600016.SH,BUY,7000,3.221992597816668,22560.72982325231,37990.057818067675,,,
2024-08-28,002714.SZ,BUY,300,36.114644238517315,10838.64812686106,27151.409691206616,,,
2024-08-29,600547.SH,SELL,400,27.344236636880222,,38074.885342907524,10923.475651700912,-747.7781040205355,-0.06407007504690419
2024-08-29,000568.SZ,SELL,200,109.7520390763841,,59996.75762802448,21921.87228511696,-9854.23658178698,-0.310114640627083
2024-08-30,600745.SH,SELL,700,26.073900000000002,,78224.76037902449,18228.002751,-3131.633607435273,-0.14661455630065254
2024-08-30,601111.SH,SELL,1800,6.97302,,90759.87951222449,12535.1191332,-834.2368667999981,-0.06239918114230769
2024-08-30,000063.SZ,SELL,400,24.326772666803077,,100477.93865715899,9718.059144934492,-820.1638530486107,-0.0778275287214534
2024-08-30,300122.SZ,BUY,1600,22.907495376624933,36663.24604929022,63814.69260786877,,,
2024-09-02,600585.SH,BUY,1100,20.003570312244563,22011.07453668297,41803.6180711858,,,
2024-09-02,000333.SZ,BUY,200,61.8965349094068,12383.988952806658,29419.629118379147,,,
2024-09-03,002074.SZ,SELL,200,18.651303246553695,,33145.04042884578,3725.4113104666353,-82.16276451799877,-0.02157876981509029
2024-09-03,002714.SZ,SELL,300,37.1996406406124,,44290.42476117966,11145.384332333882,310.9910607786878,0.028704058730743068
2024-09-04,600745.SH,BUY,600,25.605579999999996,15368.308491234222,28922.116269945436,,,
2024-09-04,000725.SZ,BUY,2800,3.844958083357901,10769.121886694587,18152.99438325085,,,
2024-09-04,000063.SZ,BUY,200,23.78645820280027,4759.324761036964,13393.669622213885,,,
2024-09-04,002415.SZ,SELL,1200,25.56557667093524,,44032.47932772951,30638.80970551563,-2232.491904477025,-0.06791613946307384
2024-10-10,600276.SH,SELL,200,52.32849491606439,,54484.57290226421,10452.093574534701,2375.1578223069246,0.2940666974665249
2024-10-10,601607.SH,BUY,900,20.42705929643867,18390.455594256822,36094.11730800739,,,
2024-10-10,601888.SH,SELL,400,72.95908331895436,,65239.81191226328,29145.694604255885,3975.1657335803648,0.1579293686677979
2024-10-10,601857.SH,BUY,2900,8.287741959715111,24041.75848858059,41198.053423682686,,,
2024-10-10,601688.SH,SELL,3100,16.95961581920092,,93704.51521145416,52506.46178777147,15111.92150608133,0.4041210666649305
2024-10-10,000858.SZ,SELL,400,141.77325797908387,,150340.09630893858,56635.58109748443,4009.623727696977,0.07619098878377652
2024-10-10,000776.SZ,SELL,400,15.82077275012413,,156660.17860715816,6320.082298219587,1705.6462555184953,0.3696326571079927
2024-10-10,000100.SZ,SELL,1200,4.318331231079718,,161835.43948773333,5175.260880575177,600.7456381300126,0.13132443686183953
2024-10-10,002304.SZ,SELL,100,82.9772455820588,,170122.37700401354,8286.937516280213,765.5596376844451,0.10178449348530459
2024-10-10,600031.SH,BUY,3500,17.985014022587364,62966.60264569967,107155.77435831388,,,
2024-10-10,002603.SZ,SELL,300,17.024529324802867,,112256.49358931807,5100.719231004187,652.1082952659563,0.1465869469562281
2024-10-11,600600.SH,SELL,500,68.40989499435757,,146416.97465475052,34160.481065432454,580.7706795976483,0.01729528554369663
2024-10-11,600132.SH,SELL,1600,58.60716458697826,,240066.53509157483,93649.56043682431,-2099.054284495345,-0.02192255512630371
2024-10-11,601766.SH,BUY,11500,7.7293898136645955,88914.87011210537,151151.66497946944,,,
2024-10-11,601377.SH,SELL,6500,6.160479968320638,,191142.72871782127,39991.06373835184,8537.715421985362,0.27144058992100484
2024-10-11,002074.SZ,BUY,3300,21.57226192378611,71209.87217728341,119932.85654053786,,,
2024-10-11,002007.SZ,SELL,1100,15.550061578935754,,137015.6876893093,17082.831148771453,1103.7186215256042,0.06907258583001172
2024-10-11,000963.SZ,BUY,1500,32.55015924758613,48840.58451598294,88175.10317332635,,,
2024-10-11,000661.SZ,SELL,100,101.45816407798537,,98307.73001979475,10132.626846468398,552.7042852986178,0.057694024327387516
2024-10-11,600050.SH,BUY,7500,4.889431334383316,36681.7453929784,61625.984626816346,,,
2024-10-11,002475.SZ,BUY,500,42.005915425615115,21009.859772523403,40616.12485429294,,,
2024-10-11,002466.SZ,BUY,400,33.44340999999999,13381.91297265931,27234.21188163363,,,
2024-10-11,002460.SZ,BUY,300,31.491965896035538,9450.639978196512,17783.571903437118,,,
2024-10-14,600183.SH,BUY,300,19.107368905852415,5734.202417217996,12049.369486219122,,,
2024-10-14,600436.SH,SELL,100,232.34472664064333,,35253.63733582017,23204.26784960105,3250.675761963106,0.1629118079434445
2024-10-14,000876.SZ,SELL,3400,9.641274628981478,,67991.35664049709,32737.719304676928,61.59360552473663,0.0018849727195881954
2024-10-14,000100.SZ,BUY,5900,4.24776415369908,25069.423482983344,42921.93315751375,,,
2024-10-15,600522.SH,SELL,1000,14.18245943915874,,57085.95539940158,14164.022241887835,649.011245949483,0.04802151075900194
2024-10-15,002074.SZ,SELL,3300,21.270252928264114,,127186.5406776109,70100.58527820931,-1087.8790702848491,-0.015281676325524796
2024-10-15,002049.SZ,SELL,1300,65.49989472595658,,212225.7089992676,85039.16832165669,-5414.694660763169,-0.0598613976477217
2024-10-16,600745.SH,SELL,600,30.64932,,230591.3945296676,18365.685530400002,3002.3375304000037,0.19542208706071126
2024-10-16,600887.SH,BUY,3400,24.702235916522802,84013.4281631712,146577.9663664964,,,
2024-10-16,600588.SH,SELL,100,10.91907,,147668.4538873964,1090.4875209,-85.68747910000002,-0.0728526614661934
2024-10-16,601899.SH,BUY,3200,17.084669936141864,54687.4825413316,92980.9713460648,,,
