,股票代码,数据条数,起始日期,结束日期,平均收盘价,收盘价标准差,平均日收益率(%),收益率标准差(%),平均成交量,平均换手率(%),最大涨幅(%),最大跌幅(%)
31,002714.SZ,2420,2016-01-04,2025-12-31,32.76882155332443,19.052261655866406,0.061285454545454546,2.2284410676672928,223269.94985537193,0.0,7.3121,-7.3468
32,300014.SZ,2430,2016-01-04,2025-12-31,42.62459492453925,33.155988986991545,-0.020718106995884777,2.6220629244381555,268820.50766666664,0.0,7.35,-7.3499
33,300015.SZ,2414,2016-01-04,2025-12-31,14.247751179301117,8.621966970935626,0.06017895608947806,2.1446715841341213,321673.3454142502,0.0,7.28,-7.3569
34,300122.SZ,2430,2016-01-04,2025-12-31,42.140173313061744,30.19186457642159,0.006535637860082301,2.448639082875626,142920.4578148148,0.0,7.35,-7.3644
35,300347.SZ,2397,2016-01-04,2025-12-31,65.04619779496605,41.466806624299075,0.04517079682937,2.5396322327838265,72497.78312056739,0.0,7.3055,-7.3688
36,300413.SZ,2170,2016-01-04,2025-12-31,31.756878107328102,15.666392575005007,-0.03777769585253456,2.562276728783254,123655.98367741935,0.0,7.2745,-7.3546
37,600009.SH,2419,2016-01-04,2025-12-31,46.17519551054787,15.566847502517927,0.01382009094667218,1.7875114979384121,107308.50523356757,0.0,7.2541,-7.3293
38,600016.SH,2430,2016-01-04,2025-12-31,3.89492036231513,0.6189861207836267,-0.013381563786008232,1.06236149841364,795356.766872428,0.0,7.24,-7.0218
39,600028.SH,2430,2016-01-04,2025-12-31,3.984009774137406,1.1233957156463965,0.03820234567901235,1.361179387615119,1029292.0939135803,0.0,6.65,-7.0225
40,600029.SH,2427,2016-01-04,2025-12-31,6.864844884864982,1.2713247290560363,0.013819653893695919,1.9036514313851038,583022.5658467243,0.0,6.98,-7.2
41,600030.SH,2413,2016-01-04,2025-12-31,19.141135259173424,4.970024235759966,0.013379651885619563,1.675330356772833,855886.482159138,0.0,7.35,-6.83
42,600031.SH,2430,2016-01-04,2025-12-31,14.276323049118757,7.160392046176337,0.05060909465020577,2.0153201930109677,717383.9699958847,0.0,7.33,-7.1599
43,600036.SH,2430,2016-01-04,2025-12-31,28.366971965529274,9.680214126758388,0.061290740740740736,1.662797270161245,562576.0139588477,0.0,7.0939,-7.3457
44,600048.SH,2423,2016-01-04,2025-12-31,10.16217885718674,2.6490974492827557,-0.02595257944696657,2.0127094675076975,826952.5283491539,0.0,7.2857,-7.25
45,600050.SH,2335,2016-01-04,2025-12-31,4.53611079710348,0.8622112883483847,-0.04560402569593149,1.6905921516734845,911142.8232719485,0.0,7.2692,-7.0853
46,600085.SH,2430,2016-01-04,2025-12-31,33.75221474931987,8.639607478469033,-0.010913827160493815,1.7883611662022647,103642.78816872428,0.0,7.337,-7.3185
47,600104.SH,2430,2016-01-04,2025-12-31,17.731285785113975,3.699513617565986,0.0012770781893004133,1.7003656709416781,334340.47841563786,0.0,7.3446,-7.0866
48,600115.SH,2429,2016-01-04,2025-12-31,5.270040963210996,1.092978134079884,-0.008064759160148224,1.788157461806402,545414.0018237958,0.0,7.3469,-7.1782
49,600132.SH,2430,2016-01-04,2025-12-31,57.8461125393163,38.79655462135445,0.06798555555555558,2.2021989226369443,38792.48187654321,0.0,7.3359,-7.2849
50,600183.SH,2430,2016-01-04,2025-12-31,16.9907808012051,10.831933597858606,0.11023860082304526,2.3464237455840697,270834.02705349796,0.0,7.3352,-7.194
51,600188.SH,2429,2016-01-04,2025-12-31,7.768792726507822,5.259493583087076,0.02939168382050226,2.234161178865923,264506.92103746394,0.0,7.3443,-7.2776
52,600196.SH,2429,2016-01-04,2025-12-31,31.801131119008396,11.393276628190108,-0.008809674763277082,2.1376616591086544,258617.7731659119,0.0,7.3171,-7.365
53,600276.SH,2429,2016-01-04,2025-12-31,43.587398331947135,17.622534641753944,0.06635129682997118,1.921963189360172,284865.47437216964,0.0,7.0974,-7.069
54,600309.SH,2305,2016-01-04,2025-12-31,58.25523477126901,29.280300282913224,0.07574264642082429,2.099099267267881,205215.63779175704,0.0,7.28,-6.82
55,600346.SH,2318,2016-01-04,2025-12-31,13.563982008087699,6.290965433163611,0.05124508196721312,2.119505700389395,217992.21915444348,0.0,7.3,-7.3021
56,600406.SH,2321,2016-01-04,2025-12-31,15.5760289591644,6.525558977816285,0.035315467470917704,1.9381809917102772,247190.5240068936,0.0,7.2617,-7.31
57,600436.SH,2430,2016-01-04,2025-12-31,178.70972252447493,106.91902064871529,0.10604600823045268,1.898457611164913,36405.201802469135,0.0,7.292,-7.31
58,600519.SH,2430,2016-01-04,2025-12-31,1117.9543889931042,544.1431107561285,0.09660181069958847,1.7250971592368152,35316.85188065844,0.0,7.2919,-6.9911
59,600522.SH,2419,2016-01-04,2025-12-31,11.987005032651178,3.710641841160436,0.023097023563455974,2.2370680566440773,575283.54465895,0.0,7.3489,-7.2548
60,600547.SH,2400,2016-01-04,2025-12-31,21.002551510176414,5.951981884110665,0.02449995833333334,2.0578419411348436,298771.3959291667,0.0,7.35,-7.36
61,600585.SH,2430,2016-01-04,2025-12-31,25.661153974116523,9.16630898381549,0.018031522633744867,1.803811066375986,257256.51146913585,0.0,7.3454,-7.33
